actor,films_cnt,actors_cnt
Benedict Cumberbatch,2,6
Bengt Ekerot,1,3
Benicio Del Toro,4,12
Benjamin Bratt,2,6
Benno Fürmann,1,3
Benoît Régent,1,3
Bernard-Pierre Donnadieu,1,3
Bernhard Wicki,1,3
Bertil Guve,1,3
Bette Davis,2,6
Beverly D'Angelo,1,3
Bibi Andersson,2,5
Biff McGuire,1,3
Bill Bernstein,1,3
Bill Hader,1,3
Bill McKinney,2,6
Bill Murray,6,17
Bill Nighy,4,12
Bill Nunn,1,3
Bill Paxton,3,9
Bill Pullman,2,6
Bill Sage,1,3
Billy Bob Thornton,1,3
Billy Connolly,1,3
Billy Crudup,3,9
Billy Crystal,2,6
Billy Dee Williams,2,3
Billy Zane,1,3
Birgitta Pettersson,1,3
Birgitta Valberg,1,3
Birol Ünel,1,3
Björk,1,3
Bo Hopkins,1,3
Bob Balaban,1,3
Bob Geldof,1,3
Bob Gunton,1,3
Bob Hoskins,1,3
Bob Odenkirk,1,3
Bob Peterson,1,3
Bobby Cannavale,1,3
Bodil Rosing,1,3
Boluwatife Treasure Bankole,1,3
Boman Irani,2,5
Bonnie Bedelia,1,3
Bonnie Hunt,1,3
Bora Todorovic,1,3
Boris Karloff,2,5
Boyd Holbrook,1,3
Boyd Kirkland,1,3
Brad Davis,1,3
Brad Dourif,1,3
Brad Garrett,1,3
Brad Pitt,12,36
Bradley Cooper,4,12
Bradley Whitford,1,3
Brady Corbet,1,3
Brahim Hadjadj,1,3
Branka Katic,1,3
Branko Djuric,1,3
Brenda Blethyn,3,8
Brenda Fricker,1,3
Brendan Gleeson,4,12
Bria Vinaite,1,3
Brian Cox,1,3
Brian Dennehy,1,3
Brian Howe,1,3
Brian O'Halloran,1,3
Brian Tyler,1,3
Bridget Moynahan,1,3
Brie Larson,3,9
Brigitte Helm,1,3
Brigitte Lin,1,3
Brooke Adams,1,3
Brooklynn Prince,1,3
Bruce Bennett,1,3
Bruce Cabot,1,3
Bruce Campbell,1,3
Bruce Davison,1,3
Bruce Dern,1,3
Bruce Lee,1,3
Bruce Reitherman,1,3
Bruce Spence,1,3
Bruce Willis,7,20
Bruno Ganz,2,6
Bruno Kirby,2,6
Bruno Zanin,1,3
Bryan Cranston,3,9
Bryce Dallas Howard,2,6
Bud Cort,1,3
Buddy Ebsen,1,3
Bulle Ogier,1,3
Bunshi Katsura Vi,1,3
Burak Yigit,1,3
Burl Ives,2,6
Burt Lancaster,3,9
Burt Reynolds,2,6
Burt Young,1,3
Buster Keaton,2,7
Buzz Kilman,1,3
Byron Barr,1,3
Byron Howard,1,3
Bérénice Bejo,2,6
Börje Ahlstedt,1,3
Bárbara Lennie,1,3
Cab Calloway,1,3
Caio Junqueira,1,3
Caitriona Balfe,1,3
Caleb Landry Jones,1,3
Callan McAuliffe,1,3
Cameron Diaz,2,6
Candela Peña,1,3
Carey Mulligan,1,3
Carice van Houten,1,3
Carl Benton Reid,1,3
Carl Miller,1,3
Carl Möhner,1,3
Carl Weathers,2,6
Carla Gugino,1,3
Carla Quevedo,1,3
Carlo Buccirosso,1,3
Carlo Verdone,1,3
Carlos Martínez López,1,3
Carlos Peralta,1,3
Carol Kane,1,3
Carole Lombard,1,3
Caroline Goodall,1,3
Carrie Fisher,4,7
Carrie Henn,1,3
Carrie-Anne Moss,2,6
Carroll Baker,1,3
Carroll O'Connor,1,3
Cary Elwes,3,9
Cary Grant,7,20
Cary-Hiroyuki Tagawa,1,3
Casey Affleck,2,6
Cate Blanchett,4,12
Catherine Deneuve,4,12
Catherine Keener,5,15
Catherine O'Hara,1,3
Cathy Moriarty,1,3
Cathy Rosier,1,3
Catinca Untaru,1,3
Cecil Parker,1,3
Cecilia Roth,1,3
Celeste Holm,1,3
Celia Johnson,1,3
Celile Toyon Uysal,1,3
Cem Yilmaz,1,3
Charles Bronson,4,11
Charles Chaplin,6,16
Charles Durning,1,3
Charles Fleischer,1,3
Charles Laughton,2,6
Charles Martin Smith,1,3
Charles Ruggles,1,3
Charles Vanel,2,6
Charley Grapewin,1,3
Charlie Cox,1,3
Charlie Hunnam,1,3
Charlie Pye Jr.,1,3
Charlie Sheen,1,3
Charlie Yeung,1,3
Charlize Theron,2,6
Charlotte Rampling,1,3
Charlton Heston,4,12
Chase Ellison,1,3
Chazz Palminteri,2,6
Chen Chang,1,3
Chete Lera,1,3
Chiara Mastroianni,1,3
Chico Marx,2,4
Chief Dan George,1,3
Chieko Baishô,1,3
Chieko Higashiyama,1,3
Chika Sakamoto,1,3
Chishû Ryû,1,3
Chiwetel Ejiofor,4,12
Chloë Grace Moretz,3,9
Cho Jin-woong,1,3
Cho Yeo-jeong,1,3
Choi Min-sik,2,6
Choi Woo-sik,1,3
Chris Cooper,3,9
Chris Elliott,1,3
Chris Evans,6,12
Chris Hemsworth,3,8
Chris O'Donnell,1,3
Chris Owen,1,3
Chris Penn,1,3
Chris Pine,3,8
Chris Pratt,3,7
Chris Renaud,1,3
Chris Sanders,1,3
Chris Sarandon,2,6
Chris Williams,2,6
Christian Bale,11,31
Christian Berkel,1,3
Christian Friedel,1,3
Christian Slater,2,6
Christina Hendricks,1,3
Christine Hargreaves,1,3
Christoph Waltz,1,3
Christopher Adamson,1,3
Christopher Carley,1,3
Christopher Eccleston,2,6
Christopher Guest,1,3
