actor,films_cnt,actors_cnt
Jane Alexander,1,3
Jane Darwell,1,3
Jane Fonda,1,3
Jane Galloway Heitz,1,3
Jane Greer,1,3
Jane Lynch,1,3
Jane Wyman,1,3
Janelle Monáe,1,3
Janet Gaynor,1,3
Janet Leigh,3,9
Jang Dong-Gun,1,3
Janine Darcey,1,3
Janusz Gajos,1,3
Jared Bush,1,3
Jared Gilman,1,3
Jared Leto,4,12
Jason Bateman,1,3
Jason Cope,1,3
Jason Flemyng,1,3
Jason Lee,1,3
Jason London,1,3
Jason Mitchell,1,3
Jason Patric,1,3
Jason Robards,2,6
Jason Schwartzman,3,8
Jason Segel,1,3
Jason Statham,2,6
Javier Bardem,3,9
Javier Cámara,1,3
Jay Baruchel,3,8
Jay C. Flippen,1,3
Jaya Bachchan,1,3
Je-mun Yun,1,3
Jean Arthur,1,3
Jean Dujardin,1,3
Jean Gabin,1,3
Jean Heywood,1,3
Jean Martin,1,3
Jean Reno,1,3
Jean Seberg,1,3
Jean Servais,1,3
Jean Simmons,1,3
Jean Sorel,1,3
Jean Topart,1,3
Jean-Baptiste Maunier,1,3
Jean-Claude Donda,1,3
Jean-Louis Trintignant,3,9
Jean-Marc Barr,1,3
Jean-Paul Belmondo,1,3
Jean-Pierre Jeunet,1,3
Jean-Pierre Lorit,1,3
Jean-Pierre Léaud,1,3
Jeanne Bates,1,3
Jeanne Moreau,1,3
Jeff Anderson,1,3
Jeff Bridges,7,21
Jeff Cohen,1,3
Jeff Daniels,1,3
Jeff Garlin,1,3
Jeff Goldblum,1,3
Jeffrey Ho,1,3
Jeffrey Hunter,1,3
Jeffrey Jones,1,3
Jeffrey Wright,1,3
Jemaine Clement,1,2
Jena Malone,1,3
Jennifer Aniston,2,6
Jennifer Connelly,5,15
Jennifer Drake,1,3
Jennifer Garner,1,3
Jennifer Jason Leigh,2,6
Jennifer Lawrence,2,6
Jennifer Lien,1,3
Jennifer Morrison,1,3
Jennifer Saunders,1,3
Jennifer Ulrich,1,3
Jeon Gook-Hwan,1,3
Jeremy Irons,2,6
Jeremy Renner,3,9
Jeremy Strong,2,6
Jerome Flynn,1,3
Jerry Lewis,1,3
Jerry Nelson,1,3
Jerry O'Connell,1,3
Jerry Zucker,1,3
Jerzy Stuhr,1,3
Jesse Borrego,1,3
Jesse Corti,1,3
Jesse Eisenberg,2,6
Jessica Biel,1,3
Jessica Chastain,2,6
Jessica Lange,2,6
Jessica Tandy,2,6
Jessie Royce Landis,1,3
Jet Li,2,6
Ji-Eun Lim,1,3
Jim Backus,1,3
Jim Carrey,2,6
Jim Caviezel,2,6
Jim Henson,1,3
Jim Kelly,1,3
Jim Sturgess,1,3
Jim Varney,1,3
Jimmy Sheirgill,2,5
Jin Goo,1,3
Jin-mo Joo,1,3
Jingwu Ma,1,3
Jinpachi Nezu,2,5
Jo Hartley,1,3
Jo Van Fleet,1,3
Joan Allen,3,8
Joan Chen,1,3
Joan Crawford,1,3
Joan Cusack,1,3
Joan Fontaine,1,3
Joan Greenwood,1,3
Joanna Cassidy,1,3
Joanne Dru,1,3
Joaquin Phoenix,5,15
Jodi Benson,1,3
Jodie Foster,4,12
Joe Keaton,1,3
Joe Pantoliano,1,3
Joe Pesci,6,15
Joe Russo,4,6
Joel Basman,1,3
Joel Coen,2,6
Joel Edgerton,1,3
Joel Grey,1,3
Johan Heldenbergh,1,3
Johanna ter Steege,1,3
John Belushi,1,3
John Billingsley,1,3
John Boles,1,3
John Boyega,1,3
John Buckwalter,1,3
John C. Reilly,1,3
John Cameron Mitchell,1,3
John Candy,2,6
John Carradine,2,6
John Cassavetes,2,6
John Castle,2,6
John Cazale,3,9
John Cho,1,3
John Cleese,2,5
John Cusack,1,3
John Dall,1,3
John Fiedler,2,6
John Fraser,1,3
John Gallagher Jr.,1,3
John Gavin,1,3
John Getz,1,3
John Gielgud,2,6
John Goodman,5,14
John Haycraft,1,3
John Heard,1,3
John Hillerman,1,3
John Hodgman,1,3
John Hodiak,1,3
John Hubley,1,3
John Hurt,3,9
John Huston,1,3
John Leguizamo,1,3
John Lennon,1,3
John Lone,1,3
John Lurie,1,3
John Mahoney,1,3
John Malkovich,3,9
John Matthews,1,3
John McGiver,1,3
John Megna,1,3
John Musker,3,9
John Payne,1,3
John Rafter Lee,1,3
John Randolph,1,3
John Ratzenberger,1,3
John Rhys-Davies,1,3
John Ridgely,1,3
John Ritter,1,3
John Roselius,1,3
John Savage,1,3
John Saxon,1,3
John Sharian,1,3
John Travolta,1,3
John Turturro,3,7
John Wayne,6,16
John Williams,1,3
John Wray,1,3
Johnny Depp,9,27
Johnny Sekka,1,3
Jon Bernthal,3,9
Jon Hamm,1,3
Jon Lovitz,1,3
Jon Voight,3,9
Jonah Hill,2,6
Jonathan Pryce,1,3
Jonathan Rhys Meyers,1,3
Jong-ho Kim,1,3
Jonny Lee Miller,1,3
Jordan Nagai,1,3
Jose Coronado,2,6
Josef Altin,1,3
Joseph A. Carpenter,1,3
Joseph Calleia,2,6
Joseph Cotten,3,8
Joseph Fiennes,1,3
Joseph Gordon-Levitt,4,12
Joseph Lee,1,3
Joseph Melito,1,3
Joseph Schildkraut,1,3
Josh Brolin,6,18
Josh Charles,1,3
Josh Hartnett,2,6
Josh Lucas,1,3
Josh O'Connor,1,3
José Baviera,1,3
José Lewgoy,1,3
Joséphine Lebas-Joly,1,3
Joyce Carey,1,3
Juan Ferrara,1,3
Judd Hirsch,1,3
Judd Nelson,1,3
Jude Law,3,9
Judi Dench,3,8
Judith Anderson,1,3
Judith O'Dea,1,3
Judy Davis,1,3
Julia Greer,1,3
Julia Jones,1,3
Julia Ormond,1,3
Julia Roberts,2,6
Julia Stiles,1,3
Julian Arahanga,1,3
Julian Dennison,2,6
Julian Sands,1,3
Juliane Köhler,1,3
Julianne Moore,6,18
Julianne Nicholson,1,3
Julie Andrews,2,6
Julie Christie,3,8
Julie Delpy,5,12
Julie Hagerty,1,3
Julie Harris,1,3
Julie Kavner,1,3
Julie Walters,1,3
Juliette Binoche,1,3
Juliette Lewis,1,3
Juliette Mayniel,1,3
Jun Ji-Hyun,1,3
June Squibb,1,3
Jung-woo Ha,2,6
Junko Iwao,1,3
Justin Bartha,1,3
Justin Braine,1,3
Justin Henry,1,3
Justin Theroux,2,6
Justin Timberlake,1,3
Justine Waddell,1,3
Jyoti Malshe,1,3
Jürgen Prochnow,1,3
Jürgen Vogel,1,3
Jüri Järvet,1,3
Ka Tung Lam,1,3
Kad Merad,1,3
Kagiso Kuypers,1,3
Kaitlyn Dever,1,3
Kajol,2,5
Kalina Jedrusik,1,3
Kalki Koechlin,1,3
Kamatari Fujiwara,1,3
Kang Hye-jeong,1,3
Kang-ho Song,4,12
Kangana Ranaut,1,3
Kappei Yamaguchi,1,3
Kara Hayward,1,3
Kareena Kapoor,3,8
Karen Allen,1,3
Karen Morley,1,3
Kari Sylwan,1,3
Karina Arroyave,1,3
Karisma Kapoor,1,3
Karl Hardman,1,3
Karl Malden,3,8
Karlheinz Böhm,1,3
Kasi Lemmons,1,3
Kassie Wesley DePaiva,1,3
Kasumi Arimura,1,3
Kate Ashfield,1,3
Kate Hudson,1,3
Kate Mara,1,3
Kate Winslet,5,13
Katharine Hepburn,6,17
Katharine Houghton,1,3
Katharine Ross,2,6
Katherine Helmond,1,3
Kathryn McGuire,1,3
Kathy Bates,4,12
Katie A. Keane,1,3
Katrin Cartlidge,2,6
Katrin Saß,1,3
Katrina Kaif,1,3
Katsunosuke Hori,1,3
Kawsar Al Haddad,1,3
Kay Kay Menon,1,3
Kayoko Kishimoto,1,3
Kazuko Yoshiyuki,1,3
Kazunari Ninomiya,1,3
Kazuya Tsurumaki,1,3
Keanu Reeves,1,3
Keenan Wynn,1,3
Keiju Kobayashi,1,3
Keiko Tsushima,1,3
Keiko Yokozawa,1,3
Keir Dullea,1,3
Keira Knightley,4,11
Keith David,2,6
Kelsey Asbille,1,3
Kemp Powers,1,3
Ken Foree,1,3
Ken Leung,1,3
Ken Stott,1,3
Ken Watanabe,4,12
Ken'ichi Hagiwara,1,3
Ken'ichi Matsuyama,1,3
Kenneth Branagh,1,3
Kenshô Ono,1,3
Keri Russell,1,3
Kermit the Frog,1,3
Kerry Washington,3,8
Kevin Bacon,6,18
Kevin Costner,4,12
Kevin Jarre,1,3
Kevin McCarthy,1,3
Kevin McKidd,1,3
Kevin Peter Hall,1,3
Kevin Spacey,5,15
Ki-duk Kim,1,3
Kiara Advani,1,3
Kiefer Sutherland,1,3
Kim Basinger,1,3
Kim Byeong-Ok,1,3
Kim Greist,1,3
Kim Hunter,2,6
Kim Min-hee,1,3
Kim Novak,1,3
Kim Sang-kyung,1,3
Kim Tae-Woo,1,3
Kim Uylenbroek,1,3
Kim Yoon-seok,1,3
Kim Young-Min,1,3
Kimberly Stringer,1,3
King Donovan,1,3
Kirin Kiki,1,3
Kirk Acevedo,1,3
Kirk Douglas,4,12
Kirk Wise,1,3
Kirron Kher,1,3
Kirsten Dunst,1,3
Kirsten Sheridan,1,3
Kirti Kulhari,1,3
Kishori Ballal,1,3
Kiyoshi Kobayashi,1,3
Klaus Kinski,2,6
Klaus Wennemann,1,3
Kodi Smit-McPhee,1,3
Kong Chu,1,3
Konkona Sen Sharma,1,3
Konstantin Lavronenko,1,3
Kotoe Hatsui,1,3
Koyu Rankin,1,3
Kristen Wiig,1,3
Kristina Adolphson,1,3
Kumud Mishra,2,6
Kurt Fuller,1,3
Kurt Russell,4,12
Kyle Chandler,1,3
Kyle MacLachlan,1,3
Kyung-jin Lee,1,3
Kyôko Kagawa,1,3
Kátia Lund,1,3
Kåre Hedebrant,1,3
Kôichi Yamadera,2,6
Lady Gaga,1,3
Laia Costa,1,3
Laila Robins,1,3
Lamberto Maggiorani,1,3
Lance Henriksen,1,3
Lari White,1,3
Larry Gates,1,3
Lars Ranthe,1,3
Lasse Fogelstrøm,1,3
Laura Dern,4,12
Laura Harring,1,3
Laura Linney,2,6
Laura Obiols,2,6
Laura Vasiliu,1,3
Lauren Bacall,4,10
Lauren Ridloff,1,3
Laurence Fishburne,2,6
Laurence Harvey,1,3
Laurence Olivier,3,9
Lawrence A. Bonney,1,3
Lazar Ristovski,1,3
Lea Massari,1,3
Lea Thompson,2,4
Leandro Firmino,1,3
Lee Byung-Hun,2,6
Lee Grant,1,3
Lee J. Cobb,3,9
Lee Marvin,2,6
Lee Pace,1,3
Lee Remick,1,3
Lee Sun-kyun,1,3
Lee Unkrich,3,9
Lee Van Cleef,2,5
Lee Yeong-ae,1,3
Leigh Whannell,1,3
Leila Hatami,1,3
Leila Hyams,1,3
Leland Orser,1,3
Leland Palmer,1,3
Lembit Ulfsak,1,3
Lena Endre,1,3
Lena Headey,1,3
Lena Nyman,1,3
Leo G. Carroll,1,3
Leo McKern,1,3
Leon Lai,1,3
Leonard Frey,1,3
Leonard Nimoy,2,6
Leonardo DiCaprio,11,32
Leonie Benesch,1,3
Leonor Watling,1,3
Lesley Sharp,1,3
Leslie Cheung,1,3
Leslie Nielsen,1,3
Leslie Odom Jr.,1,3
Lew Ayres,1,3
Lewis Black,1,3
Li Sun,1,3
Liam Aiken,1,3
Liam Cunningham,1,3
Liam Neeson,4,12
Lianella Carell,1,3
Liesel Matthews,1,3
Liev Schreiber,2,6
Lil Dagover,1,3
Lillete Dubey,1,3
Lillian Gish,1,3
Lillo Brancato,1,3
Lilly Wachowski,1,3
Lily Franky,1,3
Lin-Manuel Miranda,1,3
Lina Leandersson,1,3
Linda Blair,1,3
Linda Cardellini,1,3
Linda Hamilton,2,5
Linda Larkin,1,3
Linda Manz,1,3
Linda Zilliacus,1,3
Lindsay Duncan,1,3
Linh Dan Pham,1,3
Lionel Barrymore,2,6
Lisa Hannigan,1,3
Lisa Haydon,1,3
Lisa Spoonauer,1,3
Lisanne Falk,1,3
Liubomiras Laucevicius,1,3
Liv Ullmann,3,9
Liza Minnelli,1,3
Ljubica Adzovic,1,3
Lloyd Avery II,1,3
Lloyd Bridges,1,3
Logan Lerman,2,6
Lola Dueñas,1,3
Lorelei Linklater,1,3
Lorella Cravotta,1,3
Lori Martin,1,3
Lorraine Bracco,1,3
Lorraine Gary,1,3
Lou Romano,1,3
Louis Calhern,1,3
Louis Eppolito,1,3
Louis Hofmann,1,3
Louis Prima,1,3
Louis Wolheim,1,3
Louise Fletcher,1,3
Louise Lemoine Torrès,1,3
Loveleen Tandan,1,3
Lubna Azabal,1,3
Lucas Hedges,1,3
Lucie Mannheim,1,3
Lucy Boynton,1,3
Lucy Davis,1,3
Lucy Liu,2,6
Luis Guzmán,1,3
Luis Tosar,1,3
Luke Bracey,1,3
Luàna Bajrami,1,3
Lydia Wilson,1,3
Lyubov Agapova,1,3
Léa Seydoux,1,3
Mabel Rivera,1,3
Macaulay Culkin,1,3
Macdonald Carey,1,3
Machiko Kyô,1,3
Mack Swain,1,3
Mackenzie Foy,2,6
Madeleine Carroll,1,3
Madeleine Stowe,2,6
Madeline Carroll,1,3
Madeline Kahn,2,6
Madhavan,3,9
Mads Mikkelsen,4,11
Mae Clarke,1,3
Magali Noël,1,3
Maggie Cheung,2,5
Maggie Grace,1,3
Maggie Smith,1,3
Magnus Millang,1,3
Mahershala Ali,1,3
Mahesh Manjrekar,1,3
Mahie Gill,2,6
Mahito Tsujimura,1,3
Makio Inoue,1,3
Malcolm McDowell,1,3
Malin Akerman,1,3
Mamaengaroa Kerr-Bell,1,3
Mami Koyama,1,3
Mandy Moore,1,3
Mandy Patinkin,1,3
Manjot Singh,1,3
Manoj Bajpayee,2,6
Manuel Morón,1,3
Mara Krupp,1,3
Marc-André Grondin,1,3
Marcel Dalio,1,3
Marcello Mastroianni,2,5
Marcia Gay Harden,2,6
Marco Giallini,1,3
Mare Winningham,1,3
Margaret Avery,1,3
Margaret Livingston,1,3
Margaret Lockwood,1,3
Margaret Sullavan,1,3
Margaret Wycherly,1,3
Margaretha Krook,1,3
Margarita Terekhova,1,3
Margot Robbie,2,5
Maria Doyle Kennedy,1,3
Maria Falconetti,1,3
Maria Grazia Cucinotta,1,2
Maria Monti,1,3
Marianne Koch,1,3
Maribel Verdú,2,6
Marie-Josée Croze,1,3
Marie-Laure Dougnac,1,3
Mariel Hemingway,1,3
Marilyn Eastman,1,3
Marilyn Ghigliotti,1,3
Marilyn Monroe,1,3
Marina Vasileva,1,3
Marina de Tavira,1,3
Mario Casas,1,3
Marion Cotillard,3,9
Marion Mack,1,2
Marisa Berenson,1,3
Marisa Paredes,2,6
Marisa Tomei,2,6
Marius Goring,1,3
Marjane Satrapi,1,3
Mark Boone Junior,1,3
Mark Hamill,3,4
Mark Margolis,1,3
Mark Ruffalo,7,17
Mark Rydell,1,3
Mark Rylance,2,6
Mark Strong,1,3
Mark Wahlberg,3,9
Markus Rygaard,1,3
Markéta Irglová,1,3
Marlene Dietrich,2,6
Marlon Brando,4,11
Marlon Wayans,1,3
Martha Vickers,1,3
Martin Balsam,3,9
Martin Freeman,3,7
Martin Landau,2,6
Martin Milner,1,3
Martin Sheen,3,9
Martin Stringer,1,3
Martina Gedeck,1,3
Marty Feldman,1,3
Mary Astor,1,3
Mary Elizabeth Mastrantonio,1,3
Mary Kay Bergman,1,3
Mary McDonnell,2,6
Mary Steenburgen,2,6
Mary Stuart Masterson,1,3
Mary Tyler Moore,1,3
Mary Ure,1,3
Mary-Louise Parker,1,3
Maryana Spivak,1,3
María Marull,1,3
María Mercedes Villagra,1,3
Marília Pêra,1,3
Masaaki Ôkura,1,3
Masahiko Nishimura,1,3
Masahiro Motoki,1,3
Masaki Okada,1,3
Masayuki Mori,1,3
Massimo Troisi,1,4
Matheus Nachtergaele,1,3
Mathieu Amalric,2,6
Mathieu Kassovitz,1,3
Matt Damon,11,31
Matt Stone,1,3
Matthew Broderick,3,9
Matthew Edison,1,3
Matthew Goode,2,6
Matthew Macfadyen,1,3
Matthew McConaughey,6,18
Matthew Modine,1,3
Matvey Novikov,1,3
Maureen O'Hara,2,6
Maureen O'Sullivan,1,3
Maurice Evans,1,3
Maurice Schutz,1,3
Max Phipps,1,3
Max Riemelt,1,3
Max Schreck,1,3
Max von Sydow,4,12
Maxim Gaudette,1,3
Maxine Audley,1,3
May Whitty,1,3
Mayu Matsuoka,1,3
Mayumi Izuka,1,3
Mayumi Tanaka,1,3
Mckenna Grace,1,3
Meat Loaf,1,3
Meena,1,3
Meg Ryan,1,3
Megs Jenkins,1,3
Megumi Hayashibara,2,6
Megumi Ogata,1,3
Mehdi Nebbou,1,3
Mel Gibson,3,9
Melinda Dillon,2,6
Melisa Sözen,1,3
Melissa Benoist,1,3
Melissa Leo,2,6
Melora Walters,1,3
Melvyn Douglas,2,6
Mercedes Morán,1,3
Merila Zare'i,1,3
Merna Kennedy,1,3
Mervyn LeRoy,1,3
Meryl Streep,4,12
Mete Horozoglu,1,3
Mia Farrow,4,12
Mia Sara,1,3
Michael Ansara,1,3
Michael B. Jordan,2,6
Michael Bates,1,3
Michael Beck,1,3
Michael Berryman,1,3
Michael Biehn,2,6
Michael Caine,9,25
Michael Clarke Duncan,1,3
Michael Douglas,2,6
Michael Ealy,1,3
Michael Fassbender,2,6
Michael Gambon,2,3
Michael J. Fox,2,4
Michael J. Pollard,1,3
Michael Keaton,2,6
Michael Kenneth Williams,1,3
Michael Lee Gogin,1,3
Michael Madsen,4,9
Michael McKean,2,6
Michael Murphy,1,3
Michael Nyqvist,1,3
Michael Palin,1,3
Michael Peña,1,3
Michael Preston,1,3
Michael Redgrave,2,6
Michael Rennie,1,3
Michael Schwartz,1,3
Michael Sheen,1,3
Michael Strong,1,3
Michael Stuhlbarg,2,6
Michael York,1,3
Michel Auclair,1,3
Michel Côté,1,3
Michel Piccoli,1,3
Michel Robin,1,3
Michelle Dockery,1,3
Michelle La,1,3
Michelle Monaghan,1,3
Michelle Pfeiffer,2,6
Michelle Reis,1,3
Michelle Rodriguez,1,3
Michelle Williams,3,9
Michelle Yeoh,1,3
Michèle Caucheteux,1,3
Mick Lally,1,3
Mickey Rourke,2,6
Miguel Ángel Fuentes,1,3
Mikael Persbrandt,1,3
Mike Myers,1,3
Mike Vitar,1,3
Miki Imai,1,3
Mikkel Boe Følsgaard,1,3
Mila Kunis,1,3
Mila Parély,1,3
Miles Teller,2,6
Milhem Cortaz,2,4
Milla Jovovich,1,3
Mina Sadati,1,3
Minami Takayama,1,3
Ming-Na Wen,1,3
Minori Terada,1,3
Minoru Chiaki,2,5
Miori Takimoto,1,3
Mirai Shida,1,3
Miranda Richardson,1,3
Miriam Shor,1,3
Mirjana Jokovic,1,3
Misa Uehara,1,3
Misha Meskhi,1,3
Miss Piggy,1,3
Mitchell Ryan,1,3
Mitchell Whitfield,1,3
Mithun Chakraborty,1,3
Mitsuo Iwata,1,3
Mitsutaka Itakura,1,3
Miyu Irino,2,6
Mohammad Amir Naji,1,3
Mohanlal,1,3
Mohit Raina,1,3
Moira Shearer,2,6
Molly Picon,1,3
Molly Ringwald,1,3
Mona Singh,1,3
Mone Kamishiraishi,1,3
Monica Viegas,1,3
Monica Vitti,1,3
Montgomery Clift,2,6
Moon So-Ri,1,3
Morena Baccarin,2,5
Morgan Freeman,7,20
Moritz Bleibtreu,3,9
Muhammet Uzuner,1,3
Mustafa Kamel,1,3
Myrna Loy,2,6
Mélanie Laurent,1,3
Mélanie Thierry,1,3
Mélissa Désormeaux-Poulin,1,3
Mía Maestro,1,3
Mónica Villa,1,3
Nafise Jafar-Mohammadi,1,3
Nakul Roshan Sahdev,1,3
Nanako Matsushima,1,3
Nancy Kyes,1,3
Nancy Olson,1,3
Naomi Watts,3,9
Naomie Harris,2,6
Nargis Fakhri,1,3
Naseeruddin Shah,1,3
Nastassja Kinski,1,3
Nat Pendleton,1,3
Nat Wolff,1,3
Natalie Dessay,1,3
Natalie Portman,3,9
Natalie Wood,1,3
Nataliya Vdovina,1,3
Natalya Bondarchuk,1,3
Nathalie Boltt,1,3
Nathalie Delon,1,3
Nathan Fillion,1,3
Nawazuddin Siddiqui,4,12
Ned Beatty,2,6
Neena Gupta,1,3
Neeraj Kabi,1,3
Neeral Mulchandani,1,3
Neil Brown Jr.,1,3
Neil Patrick Harris,1,3
Nell Cattrysse,1,3
Nicholas Hoult,1,3
Nick Frost,2,5
Nick Moran,1,3
Nick Nolte,2,6
Nick Offerman,1,3
Nicolas Bro,1,3
Nicolas Cage,3,9
Nicole Kidman,3,9
Nicoletta Braschi,2,5
Niels Arestrup,1,3
Nigel Havers,1,3
Nikolay Burlyaev,1,3
Nikolay Grinko,2,5
Nikolay Sergeev,1,3
Nils Poppe,1,3
Nimrat Kaur,2,6
Nina Petri,1,3
Nina van Pallandt,1,3
Nisa Sofiya Aksongur,1,3
Noah Emmerich,1,3
Nobuo Kaneko,1,3
Noomi Rapace,1,3
Nora Gregor,1,3
Nora Twomey,1,3
Nora-Jane Noone,1,3
Noriko Hidaka,1,3
Norma Crane,1,3
Norman Ferguson,1,3
Norman Reedus,1,3
Norman Taurog,1,3
Nozomu Sasaki,1,3
Noémie Merlant,1,3
Nurgül Yesilçay,1,3
Nursel Köse,1,3
O'Shea Jackson Jr.,1,3
O.J. Simpson,1,3
Octavia Spencer,3,9
Oka Antara,1,3
Oksana Akinshina,1,3
Oleg Yankovskiy,1,3
Olga Baclanova,1,3
Olga Mironova,1,3
Oliver Reed,1,3
Oliver Stokowski,1,3
Olivia Cooke,2,6
Olivia Wilde,1,3
Olivia Williams,2,6
Olivia de Havilland,1,3
Omar Sharif,1,3
Omar Sy,1,3
Oprah Winfrey,1,3
Orlando Bloom,4,7
Orson Welles,3,8
Orto Ignatiussen,1,3
Osamu Saka,1,3
Oscar Isaac,2,5
Oskar Werner,1,3
Ossie Davis,1,3
Otto Preminger,1,3
Otto Sander,1,3
Otto Wernicke,1,3
Owen Wilson,2,6
Ozan Güven,1,3
Pablo Rago,1,3
Paddy Considine,3,9
Paige O'Hara,1,3
Pamela Adlon,1,3
Paolo Bonacelli,1,3
Paprika Steen,2,5
Parambrata Chattopadhyay,1,3
Paresh Rawal,4,11
Pascal Benezech,1,3
Pascal Greggory,1,3
Patricia Arquette,4,12
Patricia Clarkson,1,3
Patricia Neal,2,6
Patrick Fugit,1,3
Patrick Horgan,1,3
Patrick Huard,1,3
Patrick Magee,2,6
Patrick McGoohan,2,6
Patrick Renna,1,3
Patrick Stewart,2,5
Patrick Wilson,1,3
Patrick Wymark,1,3
Patton Oswalt,1,3
Paul Benjamin,1,3
Paul Bettany,1,3
Paul Dano,1,3
Paul Frankeur,1,3
Paul Freeman,1,3
Paul Giamatti,2,6
Paul Henreid,1,3
Paul Lukas,1,3
Paul McCartney,1,3
Paul McGann,1,3
Paul Meurisse,1,3
Paul Muni,1,3
Paul Newman,6,16
Paul Raci,1,3
Paul Reiser,2,6
Paul Rudd,1,3
Paul Sanchez,1,3
Paul Scofield,1,3
Paul Winfield,1,3
Paulette Dubost,1,3
Paulette Goddard,2,5
Pauline Burlet,1,3
Pavel Ponomaryov,1,3
Pawan Malhotra,1,3
Payman Maadi,1,3
Penelope Allen,1,3
Penelope Ann Miller,1,3
Penélope Cruz,2,6
Per Ragnar,1,3
Pernilla Allwin,1,3
Perry Lopez,1,3
Pete Postlethwaite,1,3
Peter Billingsley,1,3
Peter Boyle,1,3
Peter Brocco,1,3
Peter Bull,1,3
Peter Coyote,1,3
Peter Dinklage,1,3
Peter Finch,1,3
Peter Lorre,2,6
Peter O'Toole,3,9
Peter Ostrum,1,3
Peter Ramsey,1,3
Peter Sellers,3,9
Peter Stormare,1,3
Peter Wyngarde,1,3
Peter van Eyck,1,3
Phil Harris,1,3
Phil Lord,1,3
Philip Chan,1,3
Philip King,1,3
Philip Seymour Hoffman,6,18
Philippe Noiret,2,5
Phillip Terry,1,3
Phillipa Soo,1,3
Phylicia Rashad,1,3
Phyllis Logan,1,3
Pierre Barbaud,1,3
Pierre Brasseur,1,3
Pierre Fresnay,1,3
Ping Lam Siu,1,3
Piper Laurie,1,3
Polly Bergen,1,3
Porter Hall,1,3
Prabhas,2,5
Prakash Belawadi,1,3
Prateik,1,3
Predrag 'Miki' Manojlovic,1,3
Preity Zinta,3,7
Priscilla Lane,1,3
Priscilla Presley,1,3
Priya Anand,1,3
Priyanka Chopra,1,3
Pruitt Taylor Vince,1,3
Pupella Maggio,1,3
Pushkar,1,3
Qiu Yuen,1,3
Quentin Tarantino,1,3
Quinton Aaron,1,3
R. Lee Ermey,1,3
RJ Cyler,1,3
Rachel Griffiths,1,3
Rachel House,1,3
Rachel McAdams,6,18
Rachel Shelley,1,3
Rachel Ticotin,1,3
Rachel Weisz,1,3
Radha Mitchell,2,6
Radhika Apte,1,3
Raghuvir Yadav,1,3
Rajat Barmecha,1,3
Rajat Kapoor,1,3
Rajesh Abhay,1,3
Rajesh Khanna,1,3
Rajit Kapoor,1,3
Rajkummar Rao,2,6
Ralph Bellamy,1,3
Ralph Brown,1,3
Ralph Fiennes,3,9
Ralph Macchio,1,3
Ralph Meeker,1,3
Ralph Richardson,1,3
Ram Kapoor,1,3
Ramachandra Raju,1,3
Ramesh Deo,1,3
Rami Malek,1,3
Ramon Bieri,1,3
Ramya Krishnan,1,3
Rana Daggubati,3,8
Ranbir Kapoor,2,6
Randy Quaid,1,3
Rani Mukerji,2,6
Ranveer Singh,1,3
Raoul Max Trujillo,1,3
Raphael Fejtö,1,3
Rashida Jones,1,3
Raveena Tandon,1,3
Ray Liotta,1,3
Ray Milland,2,6
Ray Sahetapy,1,3
Ray Walston,1,3
Raymond Massey,2,6
Rebecca De Mornay,1,3
Reda Kateb,1,3
Reese Witherspoon,1,3
Regina King,1,3
Reginald Gardiner,1,3
Reginald VelJohnson,1,3
Rei Sakuma,1,3
Ren Osugi,1,3
Rena Owen,1,3
Rene Auberjonois,1,3
Rene Bitorajac,1,3
Rene Russo,1,3
Reni Santoni,1,3
Renée Elise Goldsberry,1,3
Renée Zellweger,1,3
Rex Harrison,1,3
Rhonda Fleming,1,3
Rica Matsumoto,1,3
Ricardo Darín,2,6
Ricardo Montalban,1,3
Rich Moore,1,3
Richa Chadha,1,3
Richard Armitage,2,4
Richard Attenborough,2,6
Richard Basehart,1,3
Richard Briers,1,3
Richard Burton,2,6
Richard Crenna,2,6
Richard Dormer,1,3
Richard Dreyfuss,2,6
Richard E. Grant,1,3
Richard Edson,1,3
Richard Farnsworth,2,6
Richard Gere,3,9
Richard Griffiths,2,6
Richard Harris,2,6
Richard Haydn,1,3
Richard Hunt,1,3
Richard Jenkins,1,3
Richard Masur,1,3
Richard Rosson,1,3
Richard Thorpe,1,3
Richard Widmark,1,3
Ricky Adelayitor,1,3
Ricky Nelson,1,3
Riisa Naka,1,3
Rima Te Wiata,1,3
Ringo Starr,1,3
Rita Hayworth,1,3
River Phoenix,1,3
Riz Ahmed,2,6
Rob Maxey,1,3
Rob Minkoff,1,3
Rob Reiner,1,3
Robby Benson,1,3
Robert Armstrong,1,3
Robert Arthur,1,3
Robert Cummings,1,3
Robert De Niro,17,45
Robert Donat,1,3
Robert Downey Jr.,7,14
Robert Duvall,4,12
Robert Gulaczyk,1,3
Robert Hays,1,3
Robert Manuel,1,3
Robert Mitchum,3,9
Robert Morley,1,3
Robert Patrick,2,6
Robert Redford,3,8
Robert Rodriguez,1,3
Robert Ryan,1,3
Robert Sean Leonard,1,3
Robert Shaw,4,12
Robert Stack,1,3
Robert Strauss,1,3
Robert Walker,1,3
Roberta Maxwell,1,3
Roberto Benigni,2,5
Roberts Blossom,1,3
Robin Williams,4,12
Robin Wright,3,9
Rock Hudson,1,3
Rod Steiger,4,12
Rod Taylor,1,3
Roddy McDowall,1,3
Rodney A. Grant,1,3
Rodney Rothman,1,3
Rodrigo De la Serna,1,3
