first,second
a_Emilio Echevarría,a_Álvaro Guerrero
a_Emilio Estevez,a_Judd Nelson
a_Emilio Estevez,a_Molly Ringwald
a_Emily Blunt,a_Jon Bernthal
a_Emily Blunt,a_Josh Brolin
a_Emily Blunt,a_Tom Cruise
a_Emily Mortimer,a_Jonathan Rhys Meyers
a_Emily Mortimer,a_Leonardo DiCaprio
a_Emily Mortimer,a_Mark Ruffalo
a_Emily Mortimer,a_Matthew Goode
a_Emily Mortimer,a_Scarlett Johansson
a_Emily Watson,a_Jean-Marc Barr
a_Emily Watson,a_Katrin Cartlidge
a_Emily Watson,a_Stellan Skarsgård
a_Emma Stone,a_J.K. Simmons
a_Emma Stone,a_Jesse Eisenberg
a_Emma Stone,a_Octavia Spencer
a_Emma Stone,a_Rosemarie DeWitt
a_Emma Stone,a_Ryan Gosling
a_Emma Stone,a_Viola Davis
a_Emma Stone,a_Woody Harrelson
a_Emma Thompson,a_James Fleet
a_Emma Thompson,a_John Haycraft
a_Emma Thompson,a_Kate Winslet
a_Emma Thompson,a_Tom Wilkinson
a_Emma Watson,a_Eric Sykes
a_Emma Watson,a_Ezra Miller
a_Emma Watson,a_Florence Pugh
a_Emma Watson,a_Logan Lerman
a_Emma Watson,a_Michael Gambon
a_Emma Watson,a_Paul Rudd
a_Emma Watson,a_Richard Griffiths
a_Emma Watson,a_Rupert Grint
a_Emma Watson,a_Saoirse Ronan
a_Emmanuel Affadzi,a_Ricky Adelayitor
a_Emmanuelle Riva,a_Isabelle Huppert
a_Emmanuelle Riva,a_Jean-Louis Trintignant
a_Emmanuelle Riva,a_Pierre Barbaud
a_Emmanuelle Riva,a_Stella Dassas
a_Emmanuelle Seigner,a_Laura Obiols
a_Emmanuelle Seigner,a_Marie-Josée Croze
a_Emmanuelle Seigner,a_Marion Cotillard
a_Emmanuelle Seigner,a_Mathieu Amalric
a_Emmanuelle Seigner,a_Pascal Greggory
a_Emmanuelle Seigner,a_Sylvie Testud
a_Emmy Rossum,a_Kevin Bacon
a_Emmy Rossum,a_Sean Penn
a_Emmy Rossum,a_Tim Robbins
a_Enrique Castillo,a_Jesse Borrego
a_Enrique Rambal,a_Jacqueline Andere
a_Enrique Rambal,a_José Baviera
a_Enrique Rambal,a_Silvia Pinal
a_Enzo Cannavale,a_Isa Danieli
a_Enzo Cannavale,a_Philippe Noiret
a_Enzo Staiola,a_Lamberto Maggiorani
a_Enzo Staiola,a_Lianella Carell
a_Enzo Tarascio,a_Gastone Moschin
a_Enzo Tarascio,a_Jean-Louis Trintignant
a_Enzo Tarascio,a_Stefania Sandrelli
a_Erdem Can,a_Ilker Kizmaz
a_Erdem Can,a_Ismail Hacioglu
a_Erdem Can,a_Kyung-jin Lee
a_Erdem Can,a_Mete Horozoglu
a_Erdem Can,a_Çetin Tekindor
a_Eric Bana,a_Ewan McGregor
a_Eric Bana,a_Josh Hartnett
a_Eric Bana,a_Philip Seymour Hoffman
a_Eric Bana,a_Tom Sizemore
a_Eric Bana,a_Toni Collette
a_Eric Baugin,a_Jean Topart
a_Eric Baugin,a_Jennifer Drake
a_Eric Idle,a_Graham Chapman
a_Eric Idle,a_John Cleese
a_Eric Idle,a_Terry Jones
a_Eric Radomski,a_Frank Paur
a_Eric Schweig,a_Madeleine Stowe
a_Eric Schweig,a_Russell Means
a_Eric Sykes,a_Rupert Grint
a_Erich von Stroheim,a_Gloria Swanson
a_Erich von Stroheim,a_Jean Gabin
a_Erich von Stroheim,a_Nancy Olson
a_Erich von Stroheim,a_Pierre Fresnay
a_Erich von Stroheim,a_William Holden
a_Ernest B. Schoedsack,a_Fay Wray
a_Ernest B. Schoedsack,a_Robert Armstrong
a_Ernest Borgnine,a_John Cassavetes
a_Ernest Borgnine,a_Lee Marvin
a_Ernest Borgnine,a_Robert Ryan
a_Ernest Borgnine,a_William Holden
a_Ernst Jacobi,a_Leonie Benesch
a_Ernst Jacobi,a_Ulrich Tukur
a_Errol Flynn,a_Olivia de Havilland
a_Errol Flynn,a_William Keighley
a_Erwin Connelly,a_Joe Keaton
a_Erwin Connelly,a_Kathryn McGuire
a_Ethan Coen,a_Frances McDormand
a_Ethan Coen,a_Gabriel Byrne
a_Ethan Coen,a_George Clooney
a_Ethan Coen,a_Jeff Bridges
a_Ethan Coen,a_John Getz
a_Ethan Coen,a_John Goodman
a_Ethan Coen,a_John Turturro
a_Ethan Coen,a_Judy Davis
a_Ethan Coen,a_Julianne Moore
a_Ethan Coen,a_Steve Buscemi
a_Ethan Coen,a_Tim Blake Nelson
a_Ethan Coen,a_William H. Macy
a_Ethan Hawke,a_Gore Vidal
a_Ethan Hawke,a_Hanno Pöschl
a_Ethan Hawke,a_Jared Leto
a_Ethan Hawke,a_Josh Charles
a_Ethan Hawke,a_Jude Law
a_Ethan Hawke,a_Julie Delpy
a_Ethan Hawke,a_Lorelei Linklater
a_Ethan Hawke,a_Louise Lemoine Torrès
a_Ethan Hawke,a_Nicolas Cage
a_Ethan Hawke,a_Patricia Arquette
a_Ethan Hawke,a_Robert Sean Leonard
a_Ethan Hawke,a_Robin Williams
a_Ethan Hawke,a_Scott Glenn
a_Ethan Hawke,a_Seamus Davey-Fitzpatrick
a_Ethan Hawke,a_Tom Berenger
a_Ethan Hawke,a_Trevor Jack Brooks
a_Ethan Hawke,a_Uma Thurman
a_Ethan Hawke,a_Vernon Dobtcheff
a_Ethan Hawke,a_Wiley Wiggins
a_Eugene Silvain,a_Maria Falconetti
a_Eugene Silvain,a_Maurice Schutz
a_Eun-ju Lee,a_Hyeong-jin Kong
a_Eun-ju Lee,a_Jang Dong-Gun
a_Eun-ju Lee,a_Won Bin
a_Eva Green,a_Jeffrey Wright
a_Eva Green,a_Judi Dench
a_Eva Marie Saint,a_James Mason
a_Eva Marie Saint,a_Jessie Royce Landis
a_Evan McGuire,a_Mick Lally
a_Evan McGuire,a_Nora Twomey
a_Evan Rachel Wood,a_Marisa Tomei
a_Evan Rachel Wood,a_Mark Margolis
a_Evan Rachel Wood,a_Mickey Rourke
a_Evgeniy Zharikov,a_Nikolay Burlyaev
a_Evgeniy Zharikov,a_Valentin Zubkov
a_Ewa Fröling,a_Lena Endre
a_Ewa Fröling,a_Michael Nyqvist
a_Ewa Fröling,a_Noomi Rapace
a_Ewan McGregor,a_Ewen Bremner
a_Ewan McGregor,a_Jessica Lange
a_Ewan McGregor,a_Jonny Lee Miller
a_Ewan McGregor,a_Josh Hartnett
a_Ewan McGregor,a_Kevin McKidd
a_Ewan McGregor,a_Tom Sizemore
a_Ewen Bremner,a_Jonny Lee Miller
a_Ewen Bremner,a_Kevin McKidd
a_Ezra Miller,a_Logan Lerman
a_Ezra Miller,a_Paul Rudd
a_F. Murray Abraham,a_Mathieu Amalric
a_F. Murray Abraham,a_Ralph Fiennes
a_F. Murray Abraham,a_Roy Dotrice
a_F. Murray Abraham,a_Tom Hulce
a_Famke Janssen,a_Leland Orser
a_Famke Janssen,a_Liam Neeson
a_Famke Janssen,a_Maggie Grace
a_Farhan Akhtar,a_Hrithik Roshan
a_Farhan Akhtar,a_Katrina Kaif
a_Farhan Akhtar,a_Pawan Malhotra
a_Farhan Akhtar,a_Sonam Kapoor
a_Farida Jalal,a_Kajol
a_Farida Jalal,a_Shah Rukh Khan
a_Farley Granger,a_James Stewart
a_Farley Granger,a_John Dall
a_Farley Granger,a_Leo G. Carroll
a_Farley Granger,a_Robert Walker
a_Farley Granger,a_Ruth Roman
a_Fatima Sana Shaikh,a_Sakshi Tanwar
a_Fatima Sana Shaikh,a_Sanya Malhotra
a_Fay Wray,a_Robert Armstrong
a_Faye Dunaway,a_Gene Hackman
a_Faye Dunaway,a_Jack Nicholson
a_Faye Dunaway,a_John Huston
a_Faye Dunaway,a_Michael J. Pollard
a_Faye Dunaway,a_Perry Lopez
a_Faye Dunaway,a_Peter Finch
a_Faye Dunaway,a_Robert Duvall
a_Faye Dunaway,a_Warren Beatty
a_Faye Dunaway,a_William Holden
a_Faye Wong,a_Takeshi Kaneshiro
a_Faye Wong,a_Tony Chiu-Wai Leung
a_Fele Martínez,a_Penélope Cruz
a_Felicity Jones,a_Sophie Perry
a_Felicity Jones,a_Tom Prior
a_Felix Bressart,a_Jack Benny
a_Felix Bressart,a_Robert Stack
a_Fengyi Zhang,a_Gong Li
a_Fengyi Zhang,a_Leslie Cheung
a_Fengyi Zhang,a_You Ge
a_Ferdia Walsh-Peelo,a_Jack Reynor
a_Ferdia Walsh-Peelo,a_Maria Doyle Kennedy
a_Fernanda Montenegro,a_Marília Pêra
a_Fernanda Montenegro,a_Soia Lira
a_Fernanda Montenegro,a_Vinícius de Oliveira
a_Fernando Rey,a_Gene Hackman
a_Fernando Rey,a_Paul Frankeur
a_Fernando Rey,a_Roy Scheider
a_Fernando Rey,a_Tony Lo Bianco
a_Fikret Kuskan,a_Hümeyra
a_Fikret Kuskan,a_Çetin Tekindor
a_Filip Berg,a_Ida Engvoll
a_Filip Berg,a_Rolf Lassgård
a_Filip Sovagovic,a_Georges Siatidis
a_Filip Sovagovic,a_Rene Bitorajac
a_Filipp Yankovskiy,a_Ignat Daniltsev
a_Filipp Yankovskiy,a_Margarita Terekhova
a_Filipp Yankovskiy,a_Oleg Yankovskiy
a_Fionn Whitehead,a_Mark Rylance
a_Fionn Whitehead,a_Tom Hardy
a_Fionnula Flanagan,a_Lisa Hannigan
a_Fionnula Flanagan,a_Nicole Kidman
a_Florence Lee,a_Harry Myers
a_Florence Lee,a_Virginia Cherrill
a_Florence Pugh,a_Saoirse Ronan
a_Florian Lukas,a_Katrin Saß
a_Florijan Ajdini,a_Srdjan 'Zika' Todorovic
a_Folco Lulli,a_Peter van Eyck
a_Folco Lulli,a_Yves Montand
a_Ford Beebe Jr.,a_Norman Ferguson
a_Ford Beebe Jr.,a_Samuel Armstrong
a_Forest Whitaker,a_Gillian Anderson
a_Forest Whitaker,a_James McAvoy
a_Forest Whitaker,a_Jeremy Renner
a_Forest Whitaker,a_Kerry Washington
a_Forest Whitaker,a_Michael Stuhlbarg
a_Franca Marzi,a_François Périer
a_Franca Marzi,a_Giulietta Masina
a_Frances Conroy,a_Joaquin Phoenix
a_Frances Conroy,a_Robert De Niro
a_Frances Conroy,a_Zazie Beetz
a_Frances McDormand,a_Gene Hackman
a_Frances McDormand,a_John Getz
a_Frances McDormand,a_Kate Hudson
a_Frances McDormand,a_Patrick Fugit
a_Frances McDormand,a_Sam Rockwell
a_Frances McDormand,a_Steve Buscemi
a_Frances McDormand,a_Willem Dafoe
a_Frances McDormand,a_William H. Macy
a_Frances McDormand,a_Woody Harrelson
a_Frances Sternhagen,a_James Caan
a_Frances Sternhagen,a_Kathy Bates
a_Frances Sternhagen,a_Richard Farnsworth
a_Francine Racette,a_Gaspard Manesse
a_Francine Racette,a_Raphael Fejtö
a_Francine Racette,a_Stanislas Carré de Malberg
a_Francis Capra,a_Lillo Brancato
a_Francis Capra,a_Robert De Niro
a_Francis Huster,a_Jacques Villeret
a_Francis Huster,a_Thierry Lhermitte
a_Frank Adu,a_Georges Adet
a_Frank Adu,a_Woody Allen
a_Frank Finlay,a_Thomas Kretschmann
a_Frank Giering,a_Susanne Lothar
a_Frank Giering,a_Ulrich Mühe
a_Frank Langella,a_Kevin Bacon
a_Frank Langella,a_Michael Sheen
a_Frank Langella,a_Sam Rockwell
a_Frank Lovejoy,a_Gloria Grahame
a_Frank Lovejoy,a_Humphrey Bogart
a_Frank Morgan,a_James Stewart
a_Frank Morgan,a_Joseph Schildkraut
a_Frank Morgan,a_Margaret Sullavan
a_Frank Overton,a_Gregory Peck
a_Frank Overton,a_John Megna
a_Frank Overton,a_Rosemary Murphy
a_Frank Oz,a_Jerry Nelson
a_Frank Oz,a_Jim Henson
a_Frank Oz,a_Richard Hunt
a_Frank Sinatra,a_Janet Leigh
a_Frank Sinatra,a_Laurence Harvey
a_Frank Vincent,a_Joe Pesci
a_Frank Vincent,a_Robert De Niro
a_Franka Potente,a_Herbert Knaup
a_Franka Potente,a_Joan Allen
a_Franka Potente,a_Johnny Depp
a_Franka Potente,a_Matt Damon
a_Franka Potente,a_Moritz Bleibtreu
a_Franka Potente,a_Nina Petri
a_Franka Potente,a_Penélope Cruz
a_Franka Potente,a_Rachel Griffiths
a_Frantz Turner,a_John Gallagher Jr.
a_Frantz Turner,a_Kaitlyn Dever
a_Franz Rogowski,a_Frederick Lau
a_Franz Rogowski,a_Laia Costa
a_François Berléand,a_Gérard Jugnot
a_François Berléand,a_Jean-Baptiste Maunier
a_François Berléand,a_Kad Merad
a_François Cluzet,a_Omar Sy
a_François Cluzet,a_Éric Toledano
a_François Périer,a_Giulietta Masina
a_François Périer,a_Nathalie Delon
a_François Truffaut,a_Melinda Dillon
a_François Truffaut,a_Richard Dreyfuss
a_François Truffaut,a_Teri Garr
a_Fred MacMurray,a_Jack Lemmon
a_Fred MacMurray,a_Ray Walston
a_Fred MacMurray,a_Shirley MacLaine
a_Fred Willard,a_Jeff Garlin
a_Frederic Forrest,a_Gene Hackman
a_Frederic Forrest,a_John Cazale
a_Frederic Forrest,a_Marlon Brando
a_Frederic Forrest,a_Martin Sheen
a_Frederic Forrest,a_Robert Duvall
a_Frederick Lau,a_Jennifer Ulrich
a_Frederick Lau,a_Jürgen Vogel
a_Frederick Lau,a_Laia Costa
a_Frederick Lau,a_Max Riemelt
a_Fredric March,a_Gene Kelly
a_Fredric March,a_Myrna Loy
a_Fredric March,a_Spencer Tracy
a_Fredric March,a_Teresa Wright
a_Freida Pinto,a_Loveleen Tandan
a_Freida Pinto,a_Saurabh Shukla
a_Friedrich Feher,a_Lil Dagover
a_Friedrich Feher,a_Werner Krauss
a_Frédérique Feder,a_Irène Jacob
a_Frédérique Feder,a_Jean-Louis Trintignant
a_Frédérique Feder,a_Jean-Pierre Lorit
a_Gabriel Byrne,a_John Turturro
a_Gabriel Byrne,a_Kevin Spacey
a_Gabriel Byrne,a_Stephen Baldwin
a_Gabriele Ferzetti,a_Lea Massari
a_Gabriele Ferzetti,a_Monica Vitti
a_Gabrielle Anwar,a_James Rebhorn
a_Gael García Bernal,a_Goya Toledo
a_Gael García Bernal,a_Maribel Verdú
a_Gael García Bernal,a_Mercedes Morán
a_Gael García Bernal,a_Mía Maestro
a_Gael García Bernal,a_Rodrigo De la Serna
a_Gael García Bernal,a_Álvaro Guerrero
a_Gajraj Rao,a_Neena Gupta
a_Gajraj Rao,a_Sanya Malhotra
a_Garrett M. Brown,a_Nicolas Cage
a_Gary Busey,a_Mel Gibson
a_Gary Busey,a_Mitchell Ryan
a_Gary Cooper,a_Grace Kelly
a_Gary Cooper,a_Lloyd Bridges
a_Gary Cooper,a_Thomas Mitchell
a_Gary Farmer,a_Johnny Depp
a_Gary Farmer,a_Lance Henriksen
a_Gary Lockwood,a_Keir Dullea
a_Gary Lockwood,a_William Sylvester
a_Gary Oldman,a_Ian Holm
a_Gary Oldman,a_Jack Lemmon
a_Gary Oldman,a_James Marsden
a_Gary Oldman,a_Jean Reno
a_Gary Oldman,a_Keri Russell
a_Gary Oldman,a_Kevin Costner
a_Gary Oldman,a_Kodi Smit-McPhee
a_Gary Oldman,a_Kurt Russell
a_Gary Oldman,a_Matthew Edison
a_Gary Oldman,a_Milla Jovovich
a_Gary Oldman,a_Natalie Portman
a_Gary Oldman,a_Tom Hardy
a_Gary Oldman,a_Walter Matthau
a_Gary Sinise,a_Kevin Bacon
a_Gary Sinise,a_Robin Wright
a_Gary Sinise,a_Sally Field
a_Gary Sinise,a_Tom Hanks
a_Gary Stretch,a_Paddy Considine
a_Gary Stretch,a_Stuart Wolfenden
a_Gary Stretch,a_Toby Kebbell
a_Gaspard Manesse,a_Raphael Fejtö
a_Gaspard Manesse,a_Stanislas Carré de Malberg
a_Gaspard Ulliel,a_Jodie Foster
a_Gastone Moschin,a_Jean-Louis Trintignant
a_Gastone Moschin,a_Stefania Sandrelli
a_Gastón Pauls,a_Graciela Tenenbaum
a_Gastón Pauls,a_María Mercedes Villagra
a_Gastón Pauls,a_Ricardo Darín
a_Gayatri Joshi,a_Kishori Ballal
a_Gayatri Joshi,a_Shah Rukh Khan
a_Gayatri Joshi,a_Smit Sheth
a_Gaylen Ross,a_Ken Foree
a_Gaylen Ross,a_Scott H. Reiniger
a_Geert Van Rampelberg,a_Johan Heldenbergh
a_Geert Van Rampelberg,a_Nell Cattrysse
a_Geert Van Rampelberg,a_Veerle Baetens
a_Gemma Jones,a_Ian Hart
a_Gemma Jones,a_Josh O'Connor
a_Gena Rowlands,a_James Garner
a_Gena Rowlands,a_Lisanne Falk
a_Gena Rowlands,a_Marjane Satrapi
a_Gena Rowlands,a_Rachel McAdams
a_Gena Rowlands,a_Ryan Gosling
a_Gena Rowlands,a_Winona Ryder
a_Gene Bervoets,a_Gwen Eckhaus
a_Gene Bervoets,a_Johanna ter Steege
a_Gene Hackman,a_Gwyneth Paltrow
a_Gene Hackman,a_John Cazale
a_Gene Hackman,a_Michael J. Pollard
a_Gene Hackman,a_Morgan Freeman
a_Gene Hackman,a_Richard Harris
a_Gene Hackman,a_Roy Scheider
a_Gene Hackman,a_Tony Lo Bianco
a_Gene Hackman,a_Warren Beatty
a_Gene Hackman,a_Willem Dafoe
a_Gene Kelly,a_Gene Kelly
a_Gene Kelly,a_Spencer Tracy
a_Gene Lockhart,a_John Payne
a_Gene Lockhart,a_Maureen O'Hara
a_Gene Lockhart,a_Ralph Bellamy
a_Gene Lockhart,a_Rosalind Russell
a_Gene Tierney,a_Vincent Price
a_Gene Wilder,a_Harvey Korman
a_Gene Wilder,a_Jack Albertson
a_Gene Wilder,a_Madeline Kahn
a_Gene Wilder,a_Marty Feldman
a_Gene Wilder,a_Peter Boyle
a_Gene Wilder,a_Peter Ostrum
a_Gene Wilder,a_Roy Kinnear
a_Gene Wilder,a_Slim Pickens
a_Geneviève Page,a_Jean Sorel
a_Geneviève Page,a_Michel Piccoli
a_Geoffrey Arend,a_Joseph Gordon-Levitt
a_Geoffrey Arend,a_Zooey Deschanel
a_Geoffrey Rush,a_Helena Bonham Carter
a_Geoffrey Rush,a_Jim Sturgess
a_Geoffrey Rush,a_Johnny Depp
a_Geoffrey Rush,a_Justin Braine
a_Geoffrey Rush,a_Keira Knightley
a_Geoffrey Rush,a_Orlando Bloom
a_Geoffrey Rush,a_Sonia Todd
a_Geoffrey Rush,a_Sylvia Hoeks
a_George C. Scott,a_Jackie Gleason
a_George C. Scott,a_Karl Malden
a_George C. Scott,a_Keenan Wynn
a_George C. Scott,a_Michael Strong
a_George C. Scott,a_Paul Newman
a_George C. Scott,a_Peter Sellers
a_George C. Scott,a_Piper Laurie
a_George C. Scott,a_Stephen Young
a_George C. Scott,a_Sterling Hayden
a_George Clooney,a_Jason Schwartzman
a_George Clooney,a_John Turturro
a_George Clooney,a_Julia Roberts
a_George Clooney,a_Matt Damon
a_George Clooney,a_Meryl Streep
a_George Clooney,a_Orto Ignatiussen
a_George Clooney,a_Sandra Bullock
a_George Clooney,a_Tim Blake Nelson
a_George Cukor,a_Mervyn LeRoy
a_George Cukor,a_Norman Taurog
a_George Cukor,a_Richard Thorpe
a_George Cukor,a_Sam Wood
a_George Cukor,a_Vivien Leigh
a_George Harrison,a_John Lennon
a_George Harrison,a_Paul McCartney
a_George Harrison,a_Ringo Starr
a_George Kennedy,a_J.D. Cannon
a_George Kennedy,a_Paul Newman
a_George Kennedy,a_Strother Martin
a_George MacKay,a_Samantha Isler
a_George MacKay,a_Viggo Mortensen
a_George Macready,a_Glenn Ford
a_George Macready,a_Joseph Calleia
a_George Macready,a_Kirk Douglas
a_George Macready,a_Ralph Meeker
a_George Macready,a_Rita Hayworth
a_George O'Brien,a_Janet Gaynor
a_George O'Brien,a_Margaret Livingston
a_George Peppard,a_Patricia Neal
a_George Raft,a_Jack Lemmon
a_George Raft,a_Marilyn Monroe
a_George Raft,a_Tony Curtis
a_George Sanders,a_Joan Fontaine
a_George Sanders,a_Judith Anderson
a_George Sanders,a_Laurence Olivier
a_George Segal,a_Richard Burton
a_George Segal,a_Sandy Dennis
a_Georges Adet,a_Woody Allen
a_Georges Siatidis,a_Rene Bitorajac
a_Gerald R. Molen,a_Tom Cruise
a_Gerald R. Molen,a_Valeria Golino
a_Geraldine Chaplin,a_Julie Christie
a_Geraldine Chaplin,a_Omar Sharif
a_Geraldine Chaplin,a_Rod Steiger
a_Gerard Butler,a_Jay Baruchel
a_Gerard Butler,a_Lena Headey
a_Gerard Hendrick,a_Glen Hansard
a_Gerard Hendrick,a_Hugh Walsh
a_Gerard Hendrick,a_Markéta Irglová
a_Gerardo Taracena,a_Raoul Max Trujillo
a_Gerardo Taracena,a_Rudy Youngblood
a_Gerry Robert Byrne,a_Jim Carrey
a_Gerry Robert Byrne,a_Kate Winslet
a_Gerry Robert Byrne,a_Tom Wilkinson
a_Gert Fröbe,a_Honor Blackman
a_Gert Fröbe,a_Sean Connery
a_Gert Fröbe,a_Shirley Eaton
a_Gian Maria Volontè,a_Lee Van Cleef
a_Gian Maria Volontè,a_Mara Krupp
a_Gian Maria Volontè,a_Marianne Koch
a_Gian Maria Volontè,a_Wolfgang Lukschy
a_Gil Birmingham,a_Jeff Bridges
a_Gillian Anderson,a_James McAvoy
a_Gillian Anderson,a_Kerry Washington
a_Gina Torres,a_Nathan Fillion
a_Ginnifer Goodwin,a_Jared Bush
a_Ginnifer Goodwin,a_Jason Bateman
a_Ginnifer Goodwin,a_Joaquin Phoenix
a_Ginnifer Goodwin,a_Reese Witherspoon
a_Ginnifer Goodwin,a_Rich Moore
a_Ginnifer Goodwin,a_Robert Patrick
a_Giorgi Nakashidze,a_Lembit Ulfsak
a_Giorgi Nakashidze,a_Misha Meskhi
a_Giorgio Cantarini,a_Giustino Durano
a_Giorgio Cantarini,a_Nicoletta Braschi
a_Giorgio Cantarini,a_Roberto Benigni
a_Giovanni Ribisi,a_Scarlett Johansson
a_Giulietta Masina,a_Richard Basehart
a_Giuseppe Battiston,a_Marco Giallini
a_Giustino Durano,a_Nicoletta Braschi
a_Giustino Durano,a_Roberto Benigni
a_Gladys George,a_Humphrey Bogart
a_Gladys George,a_Mary Astor
a_Gladys George,a_Peter Lorre
a_Glen Cavender,a_Marion Mack
a_Glen Hansard,a_Hugh Walsh
a_Glen Hansard,a_Markéta Irglová
a_Glenn Ford,a_Joseph Calleia
a_Glenn Ford,a_Rita Hayworth
a_Gloria Grahame,a_Humphrey Bogart
a_Gloria Stuart,a_Henry Travers
a_Gloria Stuart,a_William Harrigan
a_Gloria Swanson,a_Nancy Olson
a_Gloria Swanson,a_William Holden
a_Glynis Johns,a_Julie Andrews
a_Godfrey Tearle,a_Lucie Mannheim
a_Godfrey Tearle,a_Madeleine Carroll
a_Godfrey Tearle,a_Robert Donat
a_Golshifteh Farahani,a_Merila Zare'i
a_Golshifteh Farahani,a_Shahab Hosseini
a_Golshifteh Farahani,a_Taraneh Alidoosti
a_Gong Li,a_Jingwu Ma
a_Gong Li,a_Leslie Cheung
a_Gong Li,a_Saifei He
a_Gong Li,a_You Ge
a_Gore Vidal,a_Jude Law
a_Gore Vidal,a_Uma Thurman
a_Gorô Naya,a_Hisako Kyôda
a_Gorô Naya,a_Mahito Tsujimura
a_Gorô Naya,a_Sumi Shimamoto
a_Goya Toledo,a_Álvaro Guerrero
a_Grace Kelly,a_James Stewart
a_Grace Kelly,a_John Williams
a_Grace Kelly,a_Lloyd Bridges
a_Grace Kelly,a_Ray Milland
a_Grace Kelly,a_Robert Cummings
a_Grace Kelly,a_Thelma Ritter
a_Grace Kelly,a_Thomas Mitchell
a_Grace Kelly,a_Wendell Corey
a_Graciela Tenenbaum,a_María Mercedes Villagra
a_Graciela Tenenbaum,a_Ricardo Darín
a_Gracy Singh,a_Rachel Shelley
a_Gracy Singh,a_Raghuvir Yadav
a_Gracy Singh,a_Sanjay Dutt
a_Gracy Singh,a_Sunil Dutt
a_Graham Chapman,a_John Cleese
a_Graham Chapman,a_Michael Palin
a_Graham Chapman,a_Terry Gilliam
a_Graham Chapman,a_Terry Jones
a_Graham Greene,a_Jeremy Irons
a_Graham Greene,a_Kevin Costner
a_Graham Greene,a_Mary McDonnell
a_Graham Greene,a_Rodney A. Grant
a_Graham Greene,a_Samuel L. Jackson
a_Graham Norton,a_Jamie Foxx
a_Graham Norton,a_Kemp Powers
a_Graham Norton,a_Tina Fey
a_Greg Cruttwell,a_Katrin Cartlidge
a_Greg Cruttwell,a_Lesley Sharp
a_Greg Grunberg,a_Lady Gaga
a_Greg Grunberg,a_Sam Elliott
a_Greg Kinnear,a_Helen Hunt
a_Greg Kinnear,a_Jack Nicholson
a_Greg Kinnear,a_Steve Carell
a_Greg Kinnear,a_Toni Collette
a_Greg Kinnear,a_Valerie Faris
a_Gregory Peck,a_Hartley Power
a_Gregory Peck,a_John Megna
a_Gregory Peck,a_Lori Martin
a_Gregory Peck,a_Polly Bergen
a_Gregory Peck,a_Robert Mitchum
a_Gregory Peck,a_Rosemary Murphy
a_Greta Schröder,a_Gustav von Wangenheim
a_Greta Schröder,a_Max Schreck
a_Griffin Dunne,a_Rosanna Arquette
a_Griffin Dunne,a_Tommy Chong
a_Griffin Dunne,a_Verna Bloom
a_Grigoriy Aleksandrov,a_Ivan Bobrov
a_Grigoriy Aleksandrov,a_Vladimir Barskiy
a_Groucho Marx,a_Harpo Marx
a_Groucho Marx,a_Zeppo Marx
a_Guillaume Canet,a_Joséphine Lebas-Joly
a_Guillaume Canet,a_Marion Cotillard
a_Guillaume Canet,a_Natalie Dessay
a_Guillaume Canet,a_Thibault Verhaeghe
a_Gunnar Björnstrand,a_Ingrid Thulin
a_Gunnar Björnstrand,a_Liv Ullmann
a_Gunnar Björnstrand,a_Margaretha Krook
a_Gunnar Björnstrand,a_Max von Sydow
a_Gunnar Björnstrand,a_Nils Poppe
a_Gunnar Björnstrand,a_Victor Sjöström
a_Gunnel Lindblom,a_Max von Sydow
a_Gustaf Skarsgård,a_Henrik Lundström
a_Gustaf Skarsgård,a_Linda Zilliacus
a_Gustav Fröhlich,a_Rudolf Klein-Rogge
a_Gustav von Wangenheim,a_Max Schreck
a_Guy Decomble,a_Jean-Pierre Léaud
a_Guy Pearce,a_JB Blanc
a_Guy Pearce,a_Jim Caviezel
a_Guy Pearce,a_Joe Pantoliano
a_Guy Pearce,a_Kevin Spacey
a_Guy Pearce,a_Kim Basinger
a_Guy Pearce,a_Mark Boone Junior
a_Guy Pearce,a_Russell Crowe
a_Guylaine Schlumberger,a_Sady Rebbot
a_Gwen Eckhaus,a_Johanna ter Steege
a_Gwilym Lee,a_Lucy Boynton
a_Gwilym Lee,a_Rami Malek
a_Gwyneth Paltrow,a_Jeff Bridges
a_Gwyneth Paltrow,a_Robert Downey Jr.
a_Gwyneth Paltrow,a_Terrence Howard
a_Gérard Jugnot,a_Jean-Baptiste Maunier
a_Gérard Jugnot,a_Kad Merad
a_Günes Sensoy,a_Tugba Sunguroglu
a_Güven Kiraç,a_Sibel Kekilli
a_Güven Kiraç,a_Zarah Jane McKenzie
a_Haaz Sleiman,a_Hiam Abbass
a_Haaz Sleiman,a_Richard Jenkins
a_Hailee Steinfeld,a_Jeff Bridges
a_Hailee Steinfeld,a_Joel Coen
a_Hailee Steinfeld,a_Matt Damon
a_Haing S. Ngor,a_John Malkovich
a_Haing S. Ngor,a_Julian Sands
a_Haing S. Ngor,a_Sam Waterston
a_Haley Joel Osment,a_Olivia Williams
a_Haley Joel Osment,a_Toni Collette
a_Halina Gryglaszewska,a_Irène Jacob
a_Halina Gryglaszewska,a_Kalina Jedrusik
a_Halina Gryglaszewska,a_Wladyslaw Kowalski
a_Halina Reijn,a_Sebastian Koch
a_Halina Reijn,a_Thom Hoffman
